단어,품사,풀이,등급
자전거,명,自轉車,A
자정,명,子正,C
자존심,명,自尊心,C
자주,부,,A
자체,명,自體,B
자취,명,,C
자판,명,字板,C
자판기,명,自販機,B
작가,명,作家,B
작년,명,昨年,A
작다,형,,A
작성,명,作成,C
작성하다,동,作成-,C
작아지다,동,,B
작업,명,作業,C
작용,명,作用,C
작용하다,동,作用-,C
작은딸,명,,C
작은아들,명,,C
작은아버지,명,,C
작은어머니,명,,C
작품,명,作品,C
잔,명,盞,A
잔디,명,,C
잔디밭,명,,C
잔뜩,부,,B
잔치,명,,B
잘,부,,A
잘나다,형,,C
잘되다,동,,B
잘리다,동,,C
잘못,부,,B
잘못,명,,B
잘못되다,동,,B
잘못하다,동,,B
잘살다,동,,B
잘생기다,형,,B
잘하다,동,,A
잠,명,,A
잠그다,동,서랍을 ~,C
잠기다,동,물에 ~,C
잠깐,부,,A
잠깐,명,,A
잠들다,동,,B
잠바,명,jumper,C
잠수함,명,潛水艦,C
잠시,명,暫時,B
잠시,부,暫時,A
잠옷,명,,B
잠자다,동,,A
잠자리,명,~를 바꾸다,C
잠자리,명,곤충,C
잡다,동,,A
잡수다,동,,C
잡수시다,동,,A
잡아당기다,동,,C
잡아먹다,동,,C
잡지,명,雜誌,A
잡히다,동,'잡다'의 피동사,B
장,의,張. 종이 한 ~,A
장,명,章,B
장가,명,~가다,B
장갑,명,掌匣,B
장관,명,長官,C
장군,명,將軍,B
장기간,명,長期間,C
장기적,명,長期的,C
장난,명,,C
장난감,명,,B
장남,명,長男,B
장래,명,將來,B
장례,명,葬禮,C
장례식,명,葬禮式,C
장르,명,&프genre,C
장마,명,,B
장면,명,場面,C
장모,명,丈母,C
장모님,명,丈母-,C
장미,명,薔薇,A
장비,명,裝備,C
장사,명,,B
장사꾼,명,,C
장소,명,場所,A
장수,명,사과 ~,C
장식,명,裝飾,C
장애인,명,障碍人,C
장인,명,丈人,C
장점,명,長點,B
장차,부,將次,C
장학금,명,奬學金,B
잦다,형,왕래가 ~,C
재능,명,才能,C
재다,동,저울로 ~,C
재료,명,材料,B
재미,명,,A
재미없다,형,,A
재미있다,형,,A
재밌다,형,재미있다,C
재빨리,부,,C
재산,명,財産,B
재생,명,再生,C
재수,명,財數,C
재우다,동,고기를 양념에 ~,C
재작년,명,再昨年,B
재정,명,財政,C
재주,명,,C
재즈,명,jazz,C
재채기,명,,B
재판,명,裁判,C
재학,명,在學,C
재활용,명,再活用,C
재활용품,명,再活用品,C
쟤,불,저 아이,B
저,대,일인칭 대명사,A
저,관,멀리 있는 대상,A
저,대,멀리 있는 대상,A
저,감,,B
저거,대,,A
저것,대,,A
저고리,명,,C
저곳,대,,A
저기,대,,A
저기,감,,C
저녁,명,,A
저녁때,명,,B
저러다,동,,C
저런,관,,B
저런,감,,B
저렇게,불,저러하게,B
저렇다,형,,B
저리,부,저곳으로,B
저마다,부,,C
저번,명,這番,B
저울,명,,C
저자,명,著者,B
저절로,부,,C
저지르다,동,,C
저쪽,대,,A
저축,명,貯蓄,B
저편,대,-便,C
저희,대,,B
적,의,,B
적,명,敵,B
적극,명,積極,B
적극적,명,積極的,B
적다,동,답을 ~,A
적다,형,경험이 ~,A
적당하다,형,適當-,B
적당히,부,適當-,B
적성,명,適性,C
적어도,부,,B
적어지다,동,,B
적용,명,適用,C
적용되다,동,適用-,C
적용하다,동,適用-,B
적응,명,適應,C
적응하다,동,適應-,C
적절하다,형,適切-,C
적합하다,형,適合-,C
적히다,동,,C
전,관,全. ~ 국민,C
전,관,前,A
전,명,前,A
전개,명,展開,C
전개되다,동,展開-,C
전개하다,동,展開-,C
전공,명,專攻,B
전공하다,동,專攻-,C
전구,명,電球,C
전국,명,全國,B
전국적,명,全國的,C
전기,명,前期,C
전기,명,傳記,C
전기,명,電氣,B
전기밥솥,명,,B
전날,명,前-,B
전달,명,傳達,C
전달되다,동,傳達-,C
전달하다,동,傳達-,B
전라도,고,全羅道,B
전망,명,展望,C
전망하다,동,展望-,C
전문,명,專門,B
전문가,명,專門家,B
전문적,명,專門的,C
전문점,명,專門店,C
전문직,명,專門職,C
전반,명,全般,C
전반적,명,全般的,C
전부,명,全部,B
전부,부,全部,B
전선,명,戰線,C
전설,명,傳說,C
전세,명,傳貰,C
전시,명,展示,C
전시되다,동,展示-,C
전시장,명,展示場,C
전시하다,동,展示-,C
전시회,명,展示會,C
전용,명,專用,C
전자,명,電子,B
전쟁,명,戰爭,B
전주,고,全州,C
전철,명,電鐵,B
전체,명,全體,B
전체적,명,全體的,B
전통,명,傳統,B
전통문화,명,傳統文化,C
전통적,명,傳統的,B
전하다,동,傳-,B
전해지다,동,傳-,B
전혀,부,全-,B
전화,명,電話,A
전화기,명,電話機,B
전화번호,명,電話番號,A
전화하다,동,電話-,A
전환,명,轉換,C
전환하다,동,轉換-,C
전후,명,前後,C
절,명,사찰,B
절,명,~을 하다,B
절,명,節,C
절대,부,絶對,B
절대,명,絶對,C
절대로,부,絶對-,B
절대적,명,絶對的,C
절망,명,絶望,C
절반,명,折半,B
절약,명,節約,C
절약하다,동,節約-,B
절차,명,節次,C
젊다,형,,B
젊은이,명,,B
젊음,명,,C
점,의,點,B
점,명,點,B
점검,명,點檢,C
점수,명,點數,B
점심,명,點心,A
점심때,명,點心-,B
점심시간,명,點心時間,A
점원,명,店員,B
점잖다,형,,C
점점,부,漸漸,B
점차,부,漸次,B
접근,명,接近,C
접근하다,동,接近-,C
접다,동,,C
접시,명,,B
접촉,명,接觸,C
접하다,동,接-,C
젓가락,명,,A
젓다,동,,B
정,명,情,B
정거장,명,停車場,B
정기,명,定期,C
정기적,명,定期的,C
정답,명,正答,B
정당,명,政黨,C
정도,명,程度,B
정류장,명,停留場,A
정리,명,整理,B
정리되다,동,整理-,C
정리하다,동,整理-,B
정말,부,正-,A
정말,감,正-,B
정말,명,正-,B
정말로,부,正-,B
정면,명,正面,C
정문,명,正門,B
정반대,명,正反對,C
정보,명,情報,B
정보화,명,情報化,C
정부,명,政府,C
정비,명,整備,C
정상,명,正常,C
정상,명,頂上,B
정상적,명,正常的,C
정성,명,精誠,C
정식,명,正式,B
정신,명,精神,B
정신과,명,精神科,C
정신없이,부,精神-,C
정신적,명,精神的,B
정오,명,正午,C
정원,명,庭園,B
정장,명,正裝,C
정지,명,停止,C
정직하다,형,正直-,C
정치,명,政治,B
정치권,명,政治權,C
정치인,명,政治人,C
정치적,명,政治的,B
정치학,명,政治學,C
정하다,동,定-,B
정해지다,동,定-,B
정확하다,형,正確-,B
정확히,부,正確-,B
젖,명,,C
젖다,동,,B
제거하다,동,除去-,C
제공,명,提供,C
제공하다,동,提供-,B
제과점,명,製菓店,C
제대로,부,,B
제대하다,동,除隊-,C
제도적,명,制度的,C
제목,명,題目,B
제발,부,,B
제법,부,,B
제비,명,동물,C
제사,명,祭祀,C
제삿날,명,祭祀-,C
제시,명,提示,C
제시되다,동,提示-,C
제시하다,동,提示-,C
제안,명,提案,C
제안하다,동,提案-,C
제약,명,制約,C
제외되다,동,除外-,C
제외하다,동,除外-,C
제의,명,提議,C
제의하다,동,提議-,C
제일,명,第一,A
제자,명,弟子,C
제자리,명,,C
제작,명,製作,C
제작하다,동,製作-,C
제주도,고,濟州島,A
제출,명,提出,C
제출하다,동,提出-,B
제품,명,製品,B
제한,명,制限,B
제한되다,동,制限-,C
제한하다,동,制限-,C
조,의,條,C
조,의,組,C
조,명,組,C
조각,명,얼음 ~,C
조각,명,彫刻,B
조개,명,동물,C
조건,명,條件,B
조그마하다,형,,C
조그맣다,형,,B
조금,부,,A
조금,명,,A
조금씩,부,,B
조기,명,早期,C
조깅,명,jogging,C
조르다,동,요구하다,C
조명,명,照明,C
조미료,명,調味料,C
조사,명,調査,B
조사하다,동,調査-,B
조상,명,祖上,B
조선,고,朝鮮,C
조심스럽다,형,操心-,B
조심하다,동,操心-,B
조용하다,형,,A
조용히,부,,B
조절,명,調節,C
조절하다,동,調節-,C
조정,명,調整,C
조정하다,동,調整-,C
조직,명,組織,C
조카,명,,B
조화되다,동,調和-,C
존경하다,동,尊敬-,C
존댓말,명,尊待-,B
존재,명,存在,C
존재하다,동,存在-,C
존중하다,동,尊重-,C
졸다,동,,B
졸리다,동,자고 싶다,C
졸업,명,卒業,A
졸업생,명,卒業生,B
졸업하다,동,卒業-,A
졸음,명,,C
좀,부,조금,A
좁다,형,,B
좁히다,동,,C
종,명,種,B
종,명,鐘,C
종교,명,宗敎,B
종교적,명,宗敎的,C
종로,고,鍾路,B
종류,명,種類,B
종소리,명,鐘-,C
종업원,명,從業員,B
종이,명,,A
종이컵,명,-cup,B
종일,명,終日,B
종종,부,種種. ~ 놀러 오세요,C
종합,명,綜合,B
종합하다,동,綜合-,C
좋다,형,,A
좋아,감,,C
좋아지다,동,,B
좋아하다,동,,A
좌석,명,座席,B
좌우,명,左右,C
죄,명,罪,C
죄송하다,형,罪悚-,A
죄인,명,罪人,C
주,관,主. ~ 고객,C
주,의,週,A
주,명,週,A
주거,명,住居,C
주고받다,동,,C
주관적,명,主觀的,C
주년,의,周年,C
주다,보,,A
주다,동,,A
주로,부,主-,B
주름,명,,C
주름살,명,,C
주말,명,週末,A
주머니,명,,B
주먹,명,,B
주무시다,동,,B
주문,명,呪文,C
주문,명,注文,C
주문하다,동,注文-,B
주민,명,住民,C
주방,명,廚房,C
주변,명,周邊,B
주부,명,主婦,B
주사,명,注射,B
주소,명,住所,A
주스,명,juice,A
주식,명,株式,C
주어지다,동,,C
주요,명,主要,B
주요하다,형,主要-,C
주위,명,周圍,B
주의,명,注意,C
주의하다,동,注意-,C
주인,명,主人,A
주인공,명,主人公,B
주일,의,週日,C
주장,명,主張,C
주장하다,동,主張-,B
주저앉다,동,,C
주전자,명,酒煎子,C
주제,명,主題,B
주차,명,駐車,B
주차장,명,駐車場,B
주차하다,동,駐車-,B
주택,명,住宅,B
주한,명,駐韓,C
죽,부,줄을 ~ 긋다,C
죽,명,粥,B
죽다,동,굶어 ~,A
죽다,보,심심해 ~,B
죽음,명,,B
죽이다,동,굶겨 ~,B
준비,명,準備,A
준비되다,동,準備-,B
준비물,명,準備物,B
준비하다,동,準備-,A
줄,명,~로 감다,B
줄,의,방법,B
줄거리,명,,C
줄곧,부,,C
줄기,명,,B
줄다,동,,B
줄무늬,명,,B
줄어들다,동,,C
줄이다,동,,B
줍다,동,,B
중,의,中,B
중간,명,中間,B
중계방송,명,中繼放送,C
중국,고,中國,A
중국어,명,中國語,A
중국집,명,中國-,B
중년,명,中年,C
중단,명,中斷,C
중단되다,동,中斷-,C
중단하다,동,中斷-,C
중대하다,형,重大-,C
중독,명,中毒,C
중반,명,中盤,C
중부,명,中部,C
중세,명,中世,C
중소기업,명,中小企業,C
중순,명,中旬,C
중식,명,中食. 중국 음식,C
중심,명,中心,B
중심지,명,中心地,C
중앙,명,中央,C
중얼거리다,동,,C
중요,명,重要,B
중요성,명,重要性,B
중요시하다,동,重要視-,C
중요하다,형,重要-,A
중학교,명,中學校,A
중학생,명,中學生,A
쥐,명,동물,B
쥐다,동,주먹을 ~,B
즉,부,卽,B
즉석,명,卽席,C
즉시,명,卽時,B
즐거움,명,,B
즐거워하다,동,,B
즐겁다,형,,A
즐기다,동,,B
증가,명,增加,C
증가하다,동,增加-,C
증거,명,證據,C
증권,명,證券,C
증권사,명,證券社,C
증명하다,동,證明-,C
증상,명,症狀,B
증세,명,症勢,B
지,의,만난 ~ 오래되다,B
지각,명,知覺,C
지갑,명,紙匣,A
지겹다,형,,C
지경,의,地境,C
지구,명,地區,B
지구,명,地球,B
지극히,부,至極-,C
지금,부,只今,A
지금,명,只今,A
지금껏,부,只今-,C
지급,명,支給,C
지급하다,동,支給-,C
지나가다,동,,B
지나다,동,,B
지나치다,동,,C
지나치다,형,,B
지난날,명,,C
지난달,명,,A
지난번,명,-番,B
지난주,명,-週,A
지난해,명,,B
지내다,동,,A
지능,명,知能,C
지니다,동,,C
지다,동,해가 ~,B
지다,동,전쟁에 ~,B
지다,동,그늘이 ~,C
지다,동,등에 ~,B
지대,명,地帶,C
지도,명,地圖,A
지도,명,指導,C
지도자,명,指導者,C
지도하다,동,指導-,C
지루하다,형,,C
지르다,동,소리를 ~,B
지름길,명,,C
지리산,고,智異山,C
지방,명,地方,B
지방,명,脂肪,C
지배하다,동,支配-,C
지불하다,동,支拂-,C
지붕,명,,B
지속되다,동,持續-,C
지속적,명,持續的,C
지시,명,指示,C
지시하다,동,指示-,C
지식,명,知識,C
지식인,명,知識人,C
지역,명,地域,B
지우개,명,,A
지우다,동,낙서를 ~,A
지우다,동,짐을 ~,C
지워지다,동,,C
지원,명,支援,C
지원하다,동,支援-,C
지위,명,地位,C
지저분하다,형,,C
지적,명,知的,C
지적,명,指摘,C
지적되다,동,指摘-,C
지적하다,동,指摘-,C
지점,명,支店,C
지점,명,地點,B
지지,명,支持,C
지진,명,地震,C
지출,명,支出,C
지치다,동,일에 ~,B
지켜보다,동,,C
지키다,동,,B
지폐,명,紙幣,C
지하,명,地下,A
지하도,명,地下道,B
지하철,명,地下鐵,A
지혜,명,智慧,C
직선,명,直線,C
직업,명,職業,B
직원,명,職員,B
직장,명,職場,B
직장인,명,職場人,C
직전,명,直前,C
직접,부,直接,B
직접,명,直接,B
직접적,명,直接的,C
직후,명,直後,C
진급,명,進級,C
진단,명,診斷,C
진단하다,동,診斷-,C
진달래,명,,B
진동,명,振動,C
진로,명,進路,C
진료,명,診療,C
진리,명,眞理,C
진실,명,眞實,C
진실로,부,眞實-,C
진실하다,형,眞實-,C
진심,명,眞心,C
진지하다,형,眞摯-,C
진짜,명,眞-,B
진짜,부,眞-,B
진찰,명,診察,C
진출,명,進出,B
진출하다,동,進出-,C
진통,명,陣痛,C
진하다,형,津-,B
진행,명,進行,C
진행되다,동,進行-,B
진행자,명,進行者,C
진행하다,동,進行-,B
질,명,質,B
질문,명,質問,A
질문하다,동,質問-,A
질병,명,疾病,C
질서,명,秩序,B
질적,명,質的,C
짐,명,,B
짐작,명,斟酌,C
짐작하다,동,斟酌-,C
집,명,,A
집다,동,,B
집단,명,集團,C
집단적,명,集團的,C
집안,명,,B
집안일,명,,C
집어넣다,동,,C
집중,명,集中,B
집중되다,동,集中-,C
집중적,명,集中的,C
집중하다,동,集中-,C
짓,명,,B
짓다,동,,B
짙다,형,,B
짚다,동,,C
짜다,동,관을 ~,C
짜다,동,빨래를 ~,C
짜다,형,음식이 ~,A
짜증,명,,B
짜증스럽다,형,,C
짝,명,~이 맞다,C
짧다,형,,A
짧아지다,동,,B
쩔쩔매다,동,,C
쪽,명,면,B
쪽,의,부분,C
쪽,의,방향,A
쫓겨나다,동,,C
쫓기다,동,,C
쫓다,동,,C
쭉,부,,C
찌개,명,,A
찌꺼기,명,,C
찌다,동,살이 ~,B
찌다,동,떡을 ~,C
찌르다,동,,B
찍다,동,서류에 도장을 ~,A
찍히다,동,도장이 ~,C
찢다,동,,C
찢어지다,동,,C
차,의,次,C
차,명,車,A
차,명,差,C
차,명,茶,A
차갑다,형,,B
차남,명,次男,B
차다,동,가득 ~,C
차다,동,공을 ~,B
차다,동,시계를 ~,C
차다,형,날씨가 ~,B
차라리,부,,C
차량,명,車輛,C
차례,명,次例,B
차리다,동,,B
차림,명,,C
차마,부,,C
차별,명,差別,C
차선,명,車線,C
차이,명,差異,B
차이점,명,差異點,C
차차,부,次次,C
차창,명,車窓,C
차츰,부,,C
착각,명,錯覺,C
착각하다,동,錯覺-,C
착하다,형,,B
찬물,명,,B
찬성,명,贊成,C
찬성하다,동,贊成-,C
참,부,참으로,A
참,감,이것 ~,B
참,의,집에 가던 ~에,C
참가,명,參加,C
참가하다,동,參加-,B
참고하다,동,參考-,C
참기름,명,,B
참다,동,,B
참되다,형,,C
참새,명,동물,C
참석,명,參席,C
참석자,명,參席者,C
참석하다,동,參席-,B
참여,명,參與,C
참여하다,동,參與-,C
참외,명,식물,C
참으로,부,,C
참조,명,參照,C
찻잔,명,茶盞,B
창,명,窓,C
창가,명,窓-,C
창고,명,倉庫,B
창구,명,窓口,C
창문,명,窓門,A
창밖,명,窓-,B
창작,명,創作,C
창조,명,創造,C
창조적,명,創造的,C
창조하다,동,創造-,C
창피하다,형,猖披-,C
찾다,동,,A
찾아가다,동,,B
찾아내다,동,,B
찾아다니다,동,,C
찾아보다,동,,B
찾아오다,동,,B
채,의,집 한 ~,C
채,의,옷을 입은 ~로,C
채,부,말이 ~ 끝나기도 전에,C
채널,명,channel,B
채소,명,菜蔬,B
채우다,동,자리를 ~,B
채점,명,採點,C
책,명,冊,A
책가방,명,冊-,B
책방,명,冊房,B
책상,명,冊床,A
책임,명,責任,B
책임감,명,責任感,C
책임자,명,責任者,B
책임지다,동,,C
챔피언,명,champion,B
챙기다,동,,B
처녀,명,處女,C
처리,명,處理,C
처벌,명,處罰,C
처음,명,,A
처지,명,處地,C
척,의,못 이기는 ~,C
척,의,隻,C
척하다,보,,C
천,명,실로 짠 물건,C
천,수,千,A
천,관,千,A
천국,명,天國,C
천둥,명,,C
천장,명,天障,C
천재,명,天才,C
천천히,부,,A
철,명,계절,B
철,명,~이 들다,C
철,명,鐵,C
철도,명,鐵道,C
철저하다,형,徹底-,C
철저히,부,徹底-,C
철학,명,哲學,C
철학자,명,哲學者,C
철학적,명,哲學的,C
첫,관,,B
첫날,명,,B
첫째,관,,A
첫째,수,,A
청년,명,靑年,B
청바지,명,靑-,A
청소,명,淸掃,A
청소기,명,淸掃機,B
청소년,명,靑少年,B
청소하다,동,淸掃-,A
청춘,명,靑春,C
청하다,동,請-,C
체계적,명,體系的,C
체력,명,體力,C
체온,명,體溫,C
체육,명,體育,B
체육관,명,體育館,C
체조,명,體操,C
체중,명,體重,B
체하다,보,,C
체험,명,體驗,C
체험하다,동,體驗-,C
쳐다보다,동,,B
초,의,初,B
초,의,秒,B
초기,명,初期,C
초대,명,初代,C
초대,명,招待,A
초대하다,동,招待-,A
초등학교,명,初等學校,A
초등학생,명,初等學生,C
초록색,명,草綠色,B
초반,명,初盤,C
초밥,명,醋-,B
초보,명,初步,B
초보자,명,初步者,B
초상화,명,肖像畵,C
초순,명,初旬,C
초여름,명,初-,C
초원,명,草原,C
초저녁,명,初-,C
초점,명,焦點,C
초조하다,형,焦燥-,C
초청,명,招請,C
초청장,명,招請狀,B
초청하다,동,招請-,C
초콜릿,명,chocolate,A
촌스럽다,형,村-,C
촛불,명,,C
총,명,銃,C
총,관,總,C
총각,명,總角,C
총리,명,總理,C
총장,명,總長,B
촬영,명,撮影,B
최고,명,最高,B
최고급,명,最高級,C
최근,명,最近,B
최대,명,最大,B
최대한,명,最大限,C
최상,명,最上,C
최선,명,最善,B
최소,명,最小,C
최소한,명,最小限,B
최신,명,最新,C
최악,명,最惡,C
최저,명,最低,C
최종,명,最終,C
최초,명,最初,B
최후,명,最後,C
추가,명,追加,C
추가되다,동,追加-,C
추가하다,동,追加-,C
추다,동,춤을 ~,A
추석,명,秋夕,C
추억,명,追憶,B
추위,명,,B
추진,명,推進,C
추진하다,동,推進-,C
추천,명,推薦,C
추천하다,동,推薦-,C
추측,명,推測,C
축구,명,蹴球,A
축구공,명,蹴球-,B
축구장,명,蹴球場,C
축소,명,縮小,C
축제,명,祝祭,B
축하,명,祝賀,B
축하하다,동,祝賀-,A
출구,명,出口,B
출국,명,出國,C
출근,명,出勤,B
출근하다,동,出勤-,B
출발,명,出發,B
출발점,명,出發點,C
출발하다,동,出發-,A
출산,명,出産,C
출석하다,동,出席-,C
출신,명,出身,C
출연,명,出演,C
출연하다,동,出演-,B
출입,명,出入,B
출입국,명,出入國,C
출입문,명,出入門,B
출장,명,出張,B
출퇴근,명,出退勤,C
출판,명,出版,C
출판사,명,出版社,C
출현하다,동,出現-,C
춤,명,,A
춤추다,동,,A
춥다,형,,A
충격,명,衝擊,B
충격적,명,衝擊的,C
충고,명,忠告,C
충돌,명,衝突,C
충돌하다,동,衝突-,C
충분하다,형,充分-,B
충분히,부,充分-,B
충청도,고,忠淸道,B
취미,명,趣味,A
취소,명,取消,B
취소하다,동,取消-,B
취업,명,就業,C
취재,명,取材,C
취직,명,就職,B
취하다,동,取-,B
취하다,동,醉-,B
취향,명,趣向,C
층,명,層,A
치과,명,齒科,B
치다,동,폭풍우가 ~,C
치다,동,얼굴을 ~,A
치다,동,그물을 ~,C
치다,동,셈을 맞추다,C
치료,명,治療,B
치료법,명,治療法,C
치료하다,동,治療-,B
치르다,동,,C
치마,명,,A
치아,명,齒牙,C
치약,명,齒藥,A
치우다,동,,B
치우다,보,,C
치즈,명,cheese,B
친구,명,親舊,A
친절,명,親切,B
친절하다,형,親切-,A
친정,명,親庭,C
친척,명,親戚,B
친하다,형,親-,B
친해지다,동,親-,C
칠,수,七,A
칠십,수,七十,A
칠월,명,七月,A
칠판,명,漆板,A
칠하다,동,漆-,C
침,명,~을 뱉다,C
침대,명,寢臺,A
침묵,명,沈默,C
침실,명,寢室,B
침착하다,형,沈着-,C
칫솔,명,齒-,A
칭찬,명,稱讚,B
칭찬하다,동,稱讚-,C
카드,명,card,A
카레,명,curry,B
카메라,명,camera,A
카운터,명,계산대,B
카페,명,&프cafe,B
칸,명,,C
칼,명,베는 도구,A
칼국수,명,,C
캄캄하다,형,,C
캐나다,고,Canada,A
캐릭터,명,character,C
캠퍼스,명,campus,B
캠페인,명,campaign,C
커다랗다,형,,B
커지다,동,,B
커튼,명,curtain,B
커피,명,coffee,A
컨디션,명,condition,C
컬러,명,color,C
컴퓨터,명,computer,A
컵,명,cup,A
케첩,명,ketchup,C
켜다,동,성냥을 ~,A
켜지다,동,,B
코,명,,A
코끝,명,,C
코끼리,명,,B
코너,명,corner,B
코드,명,code,C
코미디,명,comedy,C
코스,명,course,C
코스모스,명,cosmos,C
코치,명,coach,C
코트,명,court,C
코피,명,,B
콘서트,명,concert,B
콜라,명,cola,A
콤플렉스,명,complex,B
콩,명,,B
콩나물,명,,B
쾌감,명,快感,C
쿠데타,명,,C
크기,명,,B
크다,형,,A
크다,동,,A
크리스마스,명,Christmas,A
크림,명,cream,C
큰길,명,,B
큰딸,명,,C
큰소리,명,,B
큰아들,명,,C
큰아버지,명,,C
큰어머니,명,,C
큰일,명,중대한 일,B
큰절,명,,C
클래식,명,classic,C
클럽,명,club,C
키,명,신장,A
키스,명,kiss,C
키우다,동,,B
킬로,의,kilo,B
킬로그램,의,kilogram,B
킬로미터,의,kilometer,B
타고나다,동,,C
타다,동,장작이 ~,C
타다,동,버스에 ~,A
타다,동,물에 ~,C
타다,동,월급을 ~,C
타락,명,墮落,C
타오르다,동,,C
타입,명,type,C
타자기,명,打字機,C
탁,부,,C
탁구,명,卓球,C
탁월하다,형,卓越-,C
탁자,명,卓子,C
탄생,명,誕生,C
탄생하다,동,誕生-,C
탈출하다,동,脫出-,C
탑,명,塔,B
탓,명,,C
태권도,명,跆拳道,A
태도,명,態度,B
태아,명,胎兒,C
태양,명,太陽,B
태어나다,동,,A
태우다,동,쓰레기를 ~,B
태우다,동,차에 ~,B
태풍,명,颱風,B
택시,명,taxi,A
택하다,동,擇-,C
탤런트,명,talent,B
터,명,,C
터,의,,B
터널,명,tunnel,B
터뜨리다,동,,B
터미널,명,terminal,B
터지다,동,,C
턱,명,신체의 일부,B
턱,의,알 ~이 없다,C
털,명,,B
털다,동,,B
텅,부,~ 비다,C
테니스,명,tennis,A
테러,명,terror,C
테스트,명,test,B
테이블,명,table,A
테이프,명,tape,B
텍스트,명,text,C
텔레비전,명,television,A
토끼,명,,B
토대,명,土臺,C
토론,명,討論,B
토론자,명,討論者,C
토론하다,동,討論-,C
토론회,명,討論會,C
토마토,명,tomato,B
토요일,명,土曜日,A
토하다,동,吐-,C
톤,의,ton,B
통,명,桶,B
통,의,通,B
통계,명,統計,C
통과,명,通過,C
통과하다,동,通過-,C
통로,명,通路,C
통신,명,通信,B
통역,명,通譯,C
통일,명,統一,B
통일하다,동,統一-,C
통장,명,通帳,B
통제,명,統制,C
통증,명,痛症,C
통하다,동,通-,B
통합,명,統合,C
통화,명,通貨,C
통화,명,通話,C
퇴근,명,退勤,B
퇴근하다,동,退勤-,B
퇴원,명,退院,C
퇴원하다,동,退院-,C
퇴직금,명,退職金,C
투명하다,형,透明-,C
투자,명,投資,C
투표,명,投票,C
튀기다,동,물방울을 ~,C
튀김,명,,C
튀다,동,,C
튀어나오다,동,,C
트럭,명,truck,C
트이다,동,,C
특급,명,特級,C
특별,명,特別,B
특별하다,형,特別-,B
특별히,부,特別-,B
특성,명,特性,C
특수,명,特殊,C
특수성,명,特殊性,C
특이하다,형,特異-,C
특정하다,형,特定-,C
특징,명,特徵,B
특히,부,特-,B
튼튼하다,형,,B
튼튼히,부,,C
틀,명,,C
틀다,동,,B
틀리다,동,답이 ~,B
틀림없다,형,,B
틀림없이,부,,C
틈,명,,C
티브이,명,TV,A
티셔츠,명,T-shirts,B
팀,명,team,A
파,명,식물,B
파괴하다,동,破壞-,C
파다,동,,C
파도,명,波濤,B
파란색,명,-色,A
파랗다,형,,B
파리,고,Paris,B
파리,명,,B
파악하다,동,把握-,C
파일,명,file,B
파출소,명,派出所,C
파티,명,party,A
판,명,~이 벌어지다,C
판,의,마지막 ~,C
판,명,板,C
판,명,版,C
판결,명,判決,C
판단,명,判斷,B
판단하다,동,判斷-,C
판매,명,販賣,B
판매되다,동,販賣-,C
판매하다,동,販賣-,B
판사,명,判事,C
팔,명,신체의 일부,A
팔,수,八,A
팔다,동,,A
팔리다,동,,B
팔십,수,八十,A
팔월,명,八月,A
팝송,명,pop song,C
패션,명,fashion,B
팩,명,pack,B
팩스,명,fax,C
팩시밀리,명,facsimile,C
팬,명,애호가,B
팬,명,pan,B
팬티,명,panties,B
퍼센트,의,percent,A
퍼지다,동,,C
퍽,부,~ 궁금하다,C
페인트,명,paint,C
펴내다,동,,C
펴다,동,,B
편,의,바람이 부는 ~,C
편,의,기차 ~,C
편,의,篇,B
편견,명,偏見,C
편리하다,형,便利-,B
편안하다,형,便安-,B
편의,명,便宜,C
편의점,명,便宜店,C
편지,명,便紙,A
편하다,형,便-,B
편히,부,便-,B
펼쳐지다,동,,B
평,의,坪,C
평,명,評,C
평가,명,評價,C
평가되다,동,評價-,C
평가하다,동,評價-,C
평균,명,平均,C
평범하다,형,平凡-,B
평상시,명,平常時,C
평생,명,平生,B
평소,명,平素,B
평양,고,平壤,C
평일,명,平日,B
평화,명,平和,B
평화롭다,형,平和-,C
폐지,명,廢止,C
포근하다,형,,C
포기하다,동,抛棄-,B
포도,명,葡萄,A
포도주,명,葡萄酒,B
포스터,명,poster,B
포인트,명,point,C
포장,명,包裝,B
포장마차,명,布帳馬車,C
포크,명,fork,C
포함,명,包含,C
포함되다,동,包含-,B
포함하다,동,包含-,B
폭,명,幅,B
폭넓다,형,幅-,C
폭력,명,暴力,C
표,명,表,C
표,명,票,A
표면,명,表面,C
표시,명,表示,C
표시,명,標示,C
표시하다,동,表示-,B
표시하다,동,標示-,C
표정,명,表情,B
표준,명,標準,C
표현,명,表現,B
표현되다,동,表現-,C
표현하다,동,表現-,B
푸다,동,,C
푸르다,형,,B
푹,부,,B
풀,명,~을 바르다,B
풀,명,~을 베다,B
풀다,동,,B
풀리다,동,,B
풀어지다,동,,C
품,명,옷이 ~이 크다,C
품다,동,가슴에 ~,C
품목,명,品目,C
품질,명,品質,C
풍경,명,風景,B
풍부하다,형,豊富-,C
풍속,명,風俗,C
풍습,명,風習,C
프랑스,고,France,A
프로,명,professional,B
프로,명,program,B
프로그램,명,program,B
프린터,명,printer,C
플라스틱,명,plastic,B
피,명,~를 흘리다,B
피곤,명,疲困,C
피곤하다,형,疲困-,A
피다,동,꽃이 ~,B
피디,명,PD,C
피로,명,疲勞,B
